"in.sqft","in.bathroom_spot_vent_hour","in.bedrooms","in.ceiling_fan","in.clothes_dryer","in.clothes_washer","in.clothes_washer_presence","in.cooking_range","in.cooling_setpoint","in.cooling_setpoint_has_offset","in.cooling_setpoint_offset_magnitude","in.cooling_setpoint_offset_period","in.dishwasher","in.ducts","in.federal_poverty_level","in.geometry_floor_area","in.geometry_floor_area_bin","in.geometry_foundation_type","in.geometry_garage","in.geometry_stories","in.geometry_stories_low_rise","in.geometry_wall_exterior_finish","in.geometry_wall_type","in.has_pv","in.heating_fuel","in.heating_setpoint","in.heating_setpoint_has_offset","in.heating_setpoint_offset_magnitude","in.heating_setpoint_offset_period","in.hot_water_fixtures","in.hvac_cooling_efficiency","in.hvac_cooling_partial_space_conditioning","in.hvac_cooling_type","in.hvac_has_ducts","in.hvac_has_zonal_electric_heating","in.hvac_heating_efficiency","in.hvac_heating_type","in.hvac_heating_type_and_fuel","in.income","in.income_recs_2015","in.income_recs_2020","in.infiltration","in.insulation_ceiling","in.insulation_floor","in.insulation_foundation_wall","in.insulation_rim_joist","in.insulation_roof","in.insulation_slab","in.insulation_wall","in.lighting","in.misc_extra_refrigerator","in.misc_freezer","in.misc_gas_fireplace","in.misc_gas_grill","in.misc_gas_lighting","in.misc_hot_tub_spa","in.misc_pool","in.misc_pool_heater","in.misc_pool_pump","in.misc_well_pump","in.occupants","in.orientation","in.plug_load_diversity","in.puma_metro_status","in.pv_orientation","in.pv_system_size","in.range_spot_vent_hour","in.refrigerator","in.roof_material","in.usage_level","in.vacancy_status","in.vintage","in.vintage_acs","in.water_heater_efficiency","in.water_heater_fuel","in.weather_file_city","in.window_areas","in.windows","upgrade.hvac_heating_efficiency","Dry Bulb Temperature [°C]","Relative Humidity [%]","Wind Speed [m/s]","Wind Direction [Deg]","Global Horizontal Radiation [W/m2]","Direct Normal Radiation [W/m2]","Diffuse Horizontal Radiation [W/m2]","energy_sum"
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",31.1,61.39,4.6,120,554.5,275,338.5,1.802
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",25.57,90.38,0.5,210,167.5,7,162.5,0.739
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",30.6,60.91,3.6,250,552,268,343,1.68
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",32.2,57.68,7.2,100,728,727,161,2.211
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",33.9,59.84,6.7,200,656.5,512,256.5,2.217
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",31.1,65.61,4.6,200,481.5,155,360.5,1.435
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",25.57,90.38,0.5,210,167.5,7,162.5,0.739
"2176","Hour5","2","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","72","Yes","5F","Night Setback","290 Rated kWh, 100% Usage","30% Leakage, R-6","400%+","2000-2499","1500-2499","Vented Crawlspace","2 Car","2","2","Stucco, Light","Wood Frame","No","Natural Gas","72","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 80% AFUE","Ducted Heating","Natural Gas Fuel Furnace","100000-119999","100000-119999","100000-149999","3 ACH50","R-38","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","Typical Efficiency","1","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 6.7, 100% Usage","Metal, Dark","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",29.67,79.37,2.4,200,630.5,510.5,227.5,1.206
"885","Hour6","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","60","No","0F","None","318 Rated kWh, 120% Usage","10% Leakage, R-4","400%+","750-999","0-1499","Ambient","None","1","1","Wood, Medium/Dark","Wood Frame","No","Electricity","70","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","6 ACH50","R-19","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","3","North","200%","In metro area, not/partially in principal city","None","None","Hour15","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Single, Clear, Non-metal, Exterior Clear Storm","MSHP, SEER 24, 13 HSPF",30,69.87,7.2,110,532.5,235,351,1.232
"885","Hour6","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","60","No","0F","None","318 Rated kWh, 120% Usage","10% Leakage, R-4","400%+","750-999","0-1499","Ambient","None","1","1","Wood, Medium/Dark","Wood Frame","No","Electricity","70","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","6 ACH50","R-19","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","3","North","200%","In metro area, not/partially in principal city","None","None","Hour15","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Single, Clear, Non-metal, Exterior Clear Storm","MSHP, SEER 24, 13 HSPF",35,41.54,2.6,160,738,736.5,164.5,1.529
